Question No,Question,Rating 1,Rating 2,Rating 3,Rating 4,Rating 5,Rating 6,Rating 7,Mean,Dev
1,"My boss is process oriented, plans everything well in advance by keeping contingency plans in place ",4,3,3,1,3,2,3,2.7142857142857144,0.9511897312113419
2,My boss is quite aware of the processes in the department and related functions. ,3,2,2,4,2,2,3,2.5714285714285716,0.7867957924694432
3,My boss helps me with difficulties in the process as he can identify the process defects in advance and guides / empowers  me with directions required,4,3,2,2,3,3,4,3.0,0.816496580927726
4,My boss is clear about the goals of the department (both long-term & short-term) and can steer the team in the right direction ,4,2,3,1,2,3,3,2.5714285714285716,0.9759000729485333
5,My boss knows how to set clear goals (both tangible and intangible) for individuals and has put a clear review mechanisms to review the progress  periodically,4,2,3,2,3,2,3,2.7142857142857144,0.7559289460184545
6,My boss understands the importance of deadlines and ensures that I am on track to achieve the goals. ,4,3,4,4,4,2,4,3.5714285714285716,0.7867957924694432
7,My boss clearly communicates the priorities of the department to everyone ,4,3,2,2,4,3,3,3.0,0.816496580927726
8,I clearly know what is expected of me when I am working in this department,4,3,4,4,4,4,3,3.7142857142857144,0.48795003647426655
9,My boss spends sufficient time and takes effort to give me  feedback that makes me realize my areas of improverment,4,2,3,4,2,2,3,2.857142857142857,0.8997354108424372
10,Feedback I receive is empowering and objective ,4,1,3,4,2,3,3,2.857142857142857,1.0690449676496974
11,I can express my challenges and difficulties in front of my boss without any hesitation,4,2,2,3,3,4,5,3.2857142857142856,1.1126972805283737
12,I can trust my boss that he can protect my interests and works in the best interest of me and the department,4,3,3,4,3,3,4,3.4285714285714284,0.5345224838248487
13,My boss helps me grow and I can learn a lot from him both personally and professionally,4,2,3,4,3,2,5,3.2857142857142856,1.1126972805283737
14,I can count on my boss's support during any crisis,4,3,3,4,2,2,4,3.142857142857143,0.8997354108424372
15,"My boss is compassionate, and someone whom I can trust completely without  fear of being judged and is a ROLE MODEL",4,3,3,4,1,2,5,3.142857142857143,1.3451854182690985
16,My boss knows how to network with other department's heads and I am confident of his ability to enhance the image of our department,3,1,2,2,3,2,4,2.4285714285714284,0.9759000729485333
17,My boss has a clear vision for the department,4,1,3,4,2,3,4,3.0,1.1547005383792515
18,My boss is competent in addressing challenges related to our department's / process and functions,4,2,3,2,2,2,4,2.7142857142857144,0.9511897312113419
19,My bosss commands high respect from his superiors both in India and abroad,3,2,2,3,3,4,3,2.857142857142857,0.6900655593423543
20,I am confident of my growth and security under the leadership of my boss,4,2,3,4,3,3,4,3.2857142857142856,0.7559289460184545
21,I am energized to come to office and work in this department under the leadership of my boss,4,1,2,4,3,3,4,3.0,1.1547005383792515
22,I get to hear good things about my boss from my colleagues,4,2,2,2,1,2,1,2.0,1.0
23,I am proud to work in this department,4,4,2,4,3,4,5,3.7142857142857144,0.9511897312113419
24,I am willing to walk that extra mile if required to protect my boss's interest,4,4,5,4,3,4,5,4.142857142857143,0.6900655593423543
25,My boss is a unifying force to keep all of the employees in the department closely knit,3,2,4,2,1,3,5,2.857142857142857,1.3451854182690985
